"id","ts","title","_yf_slug","_image","price","part_number","overview"
"41186","2017-09-15 23:53:32","Curt Manufacturing Double-Lock Gooseneck Hitch/Install Kit","/Towing/Double-Lock-Gooseneck-Hitch-Install-Kit.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60680","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/&w=200&h=200","$449.99","CRT60680",""
"41187","2017-09-15 23:53:32","Curt Manufacturing Double Lock Gooseneck Hitch","/Towing/Double-Lock-Gooseneck-Hitch.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60681","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/&w=200&h=200","$438.99","CRT60681",""
"41188","2017-09-15 23:53:32","Curt Manufacturing Gooseneck Isolator Kit","/Towing/Gooseneck-Isolator-Kit.aspx?t_c=67&t_s=59&t_pt=8525&t_pn=CRT60910","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/&w=200&h=200","$8.99","CRT60910",""
"41189","2017-09-15 23:53:37","DrawTite DrawTite Gooseneck Rail Kit - 4436","/Towing/DrawTite-Gooseneck-Rail-Kit-4436.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4436","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4436_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4436",""
"41190","2017-09-15 23:53:37","DrawTite DrawTite Gooseneck Rail Kit - 4454","/Towing/DrawTite-Gooseneck-Rail-Kit-4454.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4454","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4454_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4454",""
"41191","2017-09-15 23:53:37","DrawTite DrawTite Gooseneck Rail Kit - 4456","/Towing/DrawTite-Gooseneck-Rail-Kit-4456.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=DRA4456","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/DRA/DRA_4456_PIC_4_1_72.jpg&w=200&h=200","$253.99","DRA4456",""
"41192","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60652","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60652.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60652","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60652_a.jpg&w=200&h=200","$217.99","CRT60652",""
"41193","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61321","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61321.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61321","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61321_a.jpg&w=200&h=200","$209.99","CRT61321",""
"41194","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61504","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61504.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61504","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61504_a.jpg&w=200&h=200","$298.99","CRT61504",""
"41195","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61505","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61505.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61505","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61505_a.jpg&w=200&h=200","$229.99","CRT61505",""
"41196","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61506","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61506.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61506","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61506_a.jpg&w=200&h=200","$259.99","CRT61506",""
"41197","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing Gooseneck Hitch Folding Ball Install Kit - 61652","/Towing/CURT-Manufacturing-Gooseneck-Hitch-Folding-Ball-Install-Kit-61652.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT61652","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/61652.jpg&w=200&h=200","$244.99","CRT61652",""
"41198","2017-09-15 23:53:37","Curt Manufacturing CURT Manufacturing 600 Series Install Kit Gooseneck Hitch - 60631","/Towing/CURT-Manufacturing-600-Series-Install-Kit-Gooseneck-Hitch-60631.aspx?t_c=67&t_s=59&t_pt=8527&t_pn=CRT60631","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/CRT/60631_a.jpg&w=200&h=200","$217.99","CRT60631",""
