"id","ts","title","_yf_slug","_image","price","part_number","overview"
"1","2017-07-31 17:15:39","SPOD SPOD Adapter Harness for ARB Compressor - 300-ARB","/Air-Compressors-Air-Tanks-and-Air-Accessories/SPOD-Adapter-Harness-for-ARB-Compressor-300-ARB.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=POD300-ARB","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/POD/300-ARB.jpg&w=200&h=200","$18.99","POD300-ARB",""
"2","2017-09-15 15:04:48","VIAIR VIAIR 5-in-1 Inline Inflation/Deflation Coil Hose - 25","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-5-in-1-Inline-Inflation-Deflation-Coil-Hose-25.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A00025","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/00025.jpg&w=200&h=200","$29.99","V/A00025","Open-ended air lines are meant for use with ""H"" model compressors, as well as portable compressors. They are not to be used with air tanks since they will allow air to flow freely from the air chuck as needed to fill tires and other inflatables while the"
"3","2017-09-15 15:04:57","VIAIR VIAIR 5-in-1 Inline Inflation/Deflation Coil Hose - 29","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-5-in-1-Inline-Inflation-Deflation-Coil-Hose-29.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A00029","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/00027_00029.jpg&w=200&h=200","$39.99","V/A00029","Features: Continuous Deflation-Push down and turn/lock the deflator collar. Intermittent Deflation-Push the deflator collar down to deflate, release to stop deflation. 25-ft. extension Coil Hose-Take the hose to your work area easily. 3-piece inflation ti"
"4","2017-09-15 15:05:07","VIAIR VIAIR Onboard Air Hookup Kit - 20055","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-Onboard-Air-Hookup-Kit-20055.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A20055","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/20052_20053_20055.jpg&w=200&h=200","$79.99","V/A20055","Custom designed to work with VIAIR Compressors. They each come with a Pressure Switch with Built-in Relay, an illuminated dash panel gauge with built-in ON/OFF switch, 20 ft. of positive extension wire, 20 ft. of air delivery line tubing, as well as every"
"5","2017-09-15 15:05:17","VIAIR VIAIR Air Source Relocation Kit - 90007","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-Air-Source-Relocation-Kit-90007.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A90007","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/90007.jpg&w=200&h=200","$19.99","V/A90007","Place your air source just about anywhere you want it with this relocation kit from VIAIR."
"6","2017-09-18 17:19:33","VIAIR VIAIR Onboard Air Hookup Kit - 20052","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-Onboard-Air-Hookup-Kit-20052.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A20052","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/4WD_20052.jpg&w=200&h=200","$79.99","V/A20052","Specially designed to work with VIAIR Air Compressors, these kits include a pressure switch, illuminated dash panel gauge with on/off switch, 20 ft. of air line, and all necessary fittings."
"7","2017-09-18 17:19:39","VIAIR VIAIR 5-in-1 Inline Inflation/Deflation Coil Hose - 27","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-5-in-1-Inline-Inflation-Deflation-Coil-Hose-27.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A00027","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/00027_00029.jpg&w=200&h=200","$39.99","V/A00027","Features: Continuous Deflation-Push down and turn/lock the deflator collar. Intermittent Deflation-Push the deflator collar down to deflate, release to stop deflation. 25-ft. extension Coil Hose-Take the hose to your work area easily. 3-piece inflation ti"
"8","2017-09-18 17:19:40","VIAIR VIAIR Onboard Air Hookup Kit - 20053","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-Onboard-Air-Hookup-Kit-20053.aspx?t_c=89&t_s=568&t_pt=7418&t_pn=V/A20053","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/20052_20053_20055.jpg&w=200&h=200","$79.99","V/A20053","Onboard Air Hookup Kits - are custom designed to work with VIAIR Compressors. They each come with a Pressure Switch with Built-in Relay, an illuminated dash panel gauge with built-in ON/OFF switch, 20 ft. of positive extension wire, 20 ft. of air delivery"
"9","2017-09-18 17:19:44","Smittybilt Smittybilt Compressor Storage Bag - 2781BAG","/Air-Compressors-Air-Tanks-and-Air-Accessories/Smittybilt-Compressor-Storage-Bag-2781BAG.aspx?t_c=89&t_s=568&t_pt=101715&t_pn=S/B2781BAG","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/SB/2781BAG_A.jpg&w=200&h=200","$19.99","S/B2781BAG","Smittybilt bag for the S/B2781 moblie air compressor."
"10","2017-09-18 17:19:48","VIAIR VIAIR Direct Inlet Air Filter Assembly - 92623","/Air-Compressors-Air-Tanks-and-Air-Accessories/VIAIR-Direct-Inlet-Air-Filter-Assembly-92623.aspx?t_c=89&t_s=568&t_pt=100445&t_pn=V/A92623","//images.4wheelparts.com/aux_incl/images.ashx?i=images/products/VA/92623_92624.jpg&w=200&h=200","$3.99","V/A92623","Replacement direct-mount air filter assembly (on compressor) with 1/4"" Male NPT."
